Lenovo Flex 5 2-in-1 14in WUXGA 2-in-1 Touchscreen Laptop Ryzen 7 (8 Core) up to 4.5GHz 16GB RAM 512GB SSD WiFi Backlit Keyboard HDMI W11 Pen iSlik (Flex5 - Renewed), Blue 

Brand 	Lenovo
Model Name 	Flex
Screen Size 	13.3 Inches
Color 	Blue
Hard Disk Size 	512 GB
CPU Model 	AMD Ryzen 7
Ram Memory Installed Size 	16 GB
Operating System 	Windows 11
Special Feature 	High Definition Audio
Graphics Card Description 	Integrated

Price - $489.99
